,angle,method_name,MAE,RMSE,SNR,PEARSON,Acccuracy,dataset_name
134,25.0,CHROM,0.5326704545454546,1.4990675368753859,8.758519872734777,0.9162115986989621,93.93939393939394,PURE
135,30.0,CHROM,0.42613636363636365,1.4352478961620183,8.90165869302874,0.924275996539981,93.93939393939394,PURE
136,35.0,CHROM,0.4794034090909091,1.467504685435644,9.488427129835259,0.9186337341917777,93.93939393939394,PURE
137,40.0,CHROM,0.42613636363636365,1.4352478961620183,9.580936071718735,0.924275996539981,93.93939393939394,PURE
138,45.0,CHROM,0.4794034090909091,1.467504685435644,9.465676518189907,0.9186337341917777,93.93939393939394,PURE
139,50.0,CHROM,0.6392045454545454,1.886285285116382,9.373607119406968,0.8907997305914551,90.9090909090909,PURE
140,60.0,CHROM,0.6392045454545454,1.886285285116382,9.498432320917857,0.8907997305914551,90.9090909090909,PURE
141,70.0,CHROM,0.6392045454545454,1.886285285116382,9.668537831945255,0.8907997305914551,90.9090909090909,PURE
142,90.0,CHROM,0.6392045454545454,1.886285285116382,9.784145578349298,0.8907997305914551,90.9090909090909,PURE
143,15.0,GREEN,15.660511363636363,22.90681148930453,-9.235438038403942,-0.1135484515404382,33.333333333333336,PURE
144,20.0,GREEN,9.588068181818182,15.993957071956967,-7.974679986243588,-0.027362349715196514,54.54545454545455,PURE
145,25.0,GREEN,7.9367897727272725,12.92809958321221,-6.698676754767733,-0.0124487162577475,51.515151515151516,PURE
146,30.0,GREEN,6.4453125,11.831401020817946,-5.717978582612744,0.33878084181403006,60.60606060606061,PURE
147,35.0,GREEN,5.379971590909091,11.213820107707523,-4.17017367642426,0.2708261729883306,69.6969696969697,PURE
148,40.0,GREEN,3.8884943181818183,9.632796947565414,-2.6294426820867165,0.23908570831139345,78.78787878787878,PURE
149,45.0,GREEN,1.7578125,3.834117382015932,-1.0206903227400457,0.5662817725280161,78.78787878787878,PURE
150,50.0,GREEN,3.4623579545454546,12.350260572664572,0.4035703907045376,-0.18073284157694927,81.81818181818181,PURE
151,60.0,GREEN,0.9588068181818182,2.2898634865274867,1.9778648761253568,0.7740594456212119,84.84848484848484,PURE
152,70.0,GREEN,0.7990056818181818,1.9593296332829746,3.392260405401804,0.84852968494026,87.87878787878788,PURE
153,90.0,GREEN,0.7990056818181818,1.9593296332829746,3.1923971893403635,0.84852968494026,87.87878787878788,PURE
154,15.0,ICA,0.2663352272727273,0.9179876388288754,8.728911134882871,0.9687867271466163,93.93939393939394,PURE
155,20.0,ICA,0.7457386363636364,1.9830799505312093,9.289512234586821,0.8535508202559208,84.84848484848484,PURE
156,25.0,ICA,0.3728693181818182,1.1032838340132092,10.005389694645334,0.9610930189309698,90.9090909090909,PURE
157,30.0,ICA,1.1186079545454546,4.423731114416455,10.181481658279383,0.6121058248921202,87.87878787878788,PURE
158,35.0,ICA,0.5859375,1.4022492806557014,10.437940950753623,0.9389264518913966,84.84848484848484,PURE
159,40.0,ICA,0.4794034090909091,1.5299793980481255,10.976692912508067,0.9467346705476374,90.9090909090909,PURE
160,45.0,ICA,0.6392045454545454,1.6760084576582677,11.187204079840052,0.9374245983601026,87.87878787878788,PURE
161,50.0,ICA,0.5326704545454546,1.6191779993150566,11.730322742903542,0.9374599193599921,87.87878787878788,PURE
162,60.0,ICA,0.4794034090909091,1.5299793980481255,12.010803099530364,0.9467346705476374,90.9090909090909,PURE
163,70.0,ICA,0.5859375,1.8613002709150728,11.990600530269113,0.8904338240673978,90.9090909090909,PURE
164,90.0,ICA,0.5859375,1.8613002709150728,11.816592117638438,0.8904338240673978,90.9090909090909,PURE
165,15.0,LGI,0.3728693181818182,1.1032838340132092,9.420060608516948,0.9610930189309698,90.9090909090909,PURE
166,20.0,LGI,0.5326704545454546,1.2982305689226499,10.354116665029405,0.9466115745438544,87.87878787878788,PURE
167,25.0,LGI,0.5326704545454546,1.2982305689226499,10.541350574372963,0.9466115745438544,87.87878787878788,PURE
168,30.0,LGI,0.5859375,1.6478382420019195,10.91645245851487,0.8913472548256747,87.87878787878788,PURE
169,35.0,LGI,0.5326704545454546,1.560278961208467,11.28902666496813,0.9033597454395289,90.9090909090909,PURE
170,40.0,LGI,0.42613636363636365,1.4352478961620183,11.612373001930747,0.9210550926387356,93.93939393939394,PURE
171,45.0,LGI,0.42613636363636365,1.4352478961620183,11.671150586061831,0.9210550926387356,93.93939393939394,PURE
172,50.0,LGI,0.4794034090909091,1.5299793980481255,11.73737877206083,0.9088359190823033,90.9090909090909,PURE
173,60.0,LGI,0.4794034090909091,1.5299793980481255,11.993681844950618,0.9088359190823033,90.9090909090909,PURE
174,70.0,LGI,0.4794034090909091,1.5299793980481255,12.061011320766237,0.9088359190823033,90.9090909090909,PURE
175,90.0,LGI,0.4794034090909091,1.5299793980481255,11.922948619559962,0.9088359190823033,90.9090909090909,PURE
176,15.0,PBV,6.7649147727272725,11.85511918900187,-5.764316851137637,0.41311562453357925,48.484848484848484,PURE
177,20.0,PBV,5.433238636363637,9.934268275435482,-2.0015249182217247,0.23974444013864254,60.60606060606061,PURE
178,25.0,PBV,6.551846590909091,16.13675008352573,-2.13556651033326,0.3568002775459425,63.63636363636363,PURE
179,30.0,PBV,5.806107954545454,13.036286403097845,-1.8649994879336946,0.27044599421303,69.6969696969697,PURE
180,35.0,PBV,3.249289772727273,9.306501354575364,0.9641291615152312,0.21856864072389273,81.81818181818181,PURE
181,40.0,PBV,2.610085227272727,6.738860214751681,0.5622591691243504,0.5167709239608643,81.81818181818181,PURE
182,45.0,PBV,1.4382102272727273,5.129425641628618,2.3008424309499307,0.5961309520923459,90.9090909090909,PURE
183,50.0,PBV,1.3849431818181819,5.1202904150701345,2.4324205683194844,0.5922919837861631,90.9090909090909,PURE
184,60.0,PBV,1.9708806818181819,5.2734375,2.7542352001123693,0.6154664636448879,81.81818181818181,PURE
185,70.0,PBV,1.0653409090909092,2.9981350737507717,4.270954136225637,0.7786057076984162,87.87878787878788,PURE
186,90.0,PBV,0.6392045454545454,1.7309740918968666,4.63020446561314,0.8937692845622384,90.9090909090909,PURE
187,15.0,POS,0.3196022727272727,0.8654870459484333,9.232386369213776,0.9775455292362938,96.96969696969697,PURE
188,20.0,POS,0.3196022727272727,0.9676439341930904,9.58284897636902,0.9756352152629498,93.93939393939394,PURE
189,25.0,POS,0.42613636363636365,1.1449317432637434,9.861958908721714,0.9627081078394782,90.9090909090909,PURE
190,30.0,POS,0.3196022727272727,0.9676439341930904,10.059244098860399,0.9756352152629498,93.93939393939394,PURE
191,35.0,POS,0.3196022727272727,0.9676439341930904,10.558335311839663,0.9756352152629498,93.93939393939394,PURE
192,40.0,POS,0.3728693181818182,1.014873520059889,10.96273325784465,0.9755256515186557,93.93939393939394,PURE
193,45.0,POS,0.3196022727272727,0.9676439341930904,11.140692012454767,0.9756352152629498,93.93939393939394,PURE
194,50.0,POS,0.3728693181818182,1.014873520059889,11.26545003610828,0.9755256515186557,93.93939393939394,PURE
195,60.0,POS,0.2663352272727273,0.8095889996575283,11.52908725941389,0.9809510911178171,96.96969696969697,PURE
196,70.0,POS,0.21306818181818182,0.7495337684376929,11.675401208479629,0.9821985288981231,96.96969696969697,PURE
197,90.0,POS,0.2663352272727273,0.8095889996575283,11.787482731939171,0.9809510911178171,96.96969696969697,PURE
198,15.0,CHROM,2.0294744318181817,4.988765232225157,-1.5852323083091826,0.8834490921693701,80.0,RLAP
199,20.0,CHROM,1.5340909090909092,4.259831933529492,0.17893901220513422,0.9286778201815827,85.45454545454545,RLAP
200,25.0,CHROM,1.2224786931818181,3.2606872688572333,1.3550837843027066,0.9496589917154001,86.36363636363636,RLAP
201,30.0,CHROM,1.0866477272727273,2.9125921680573437,1.770224944877829,0.9647474514452296,86.81818181818181,RLAP
202,35.0,CHROM,1.2784090909090908,3.9198537976915655,2.1610371023929402,0.9459693519183746,85.9090909090909,RLAP
203,40.0,CHROM,1.0466974431818181,3.0191421159347462,2.3978846432415906,0.9609451264406922,86.81818181818181,RLAP
204,45.0,CHROM,1.2064985795454546,3.4612719559947647,2.616729170925375,0.9500648948875244,86.36363636363636,RLAP
205,50.0,CHROM,1.1265980113636365,3.3582960658376018,2.7321170227236995,0.9536139556421767,87.27272727272727,RLAP
206,60.0,CHROM,1.2624289772727273,4.29267615094964,2.893063926975193,0.9209733879050752,87.72727272727273,RLAP
207,70.0,CHROM,1.1985085227272727,4.025910468492761,2.885269283857169,0.929237205676294,87.27272727272727,RLAP
208,90.0,CHROM,1.2784090909090908,4.193371821325794,2.8883078016554897,0.9251578370077075,87.27272727272727,RLAP
